,REF_DATE,GEO,National Occupational Classification (NOC),Statistics,VALUE
3614,2012," Canada, 55 to 64 years","Natural resources, agriculture and related production occupations","Median wages, salaries and commissions, males",24300.0
3615,2012," Canada, 55 to 64 years","Natural resources, agriculture and related production occupations","Median gender pay ratio in annual wages, salaries and commissions",
3616,2012," Canada, 55 to 64 years",Occupations in manufacturing and utilities,"Average employment income, both sexes",49600.0
3617,2012," Canada, 55 to 64 years",Occupations in manufacturing and utilities,"Average employment income, females",28600.0
3618,2012," Canada, 55 to 64 years",Occupations in manufacturing and utilities,"Average employment income, males",56300.0
3619,2012," Canada, 55 to 64 years",Occupations in manufacturing and utilities,Average gender pay ratio in annual employment income,0.51
3620,2012," Canada, 55 to 64 years",Occupations in manufacturing and utilities,"Median employment income, both sexes",44400.0
3621,2012," Canada, 55 to 64 years",Occupations in manufacturing and utilities,"Median employment income, females",29700.0
3622,2012," Canada, 55 to 64 years",Occupations in manufacturing and utilities,"Median employment income, males",51500.0
3623,2012," Canada, 55 to 64 years",Occupations in manufacturing and utilities,Median gender pay ratio in annual employment income,0.58
3624,2012," Canada, 55 to 64 years",Occupations in manufacturing and utilities,"Average wages, salaries and commissions, both sexes",50600.0
3625,2012," Canada, 55 to 64 years",Occupations in manufacturing and utilities,"Average wages, salaries and commissions, females",28200.0
3626,2012," Canada, 55 to 64 years",Occupations in manufacturing and utilities,"Average wages, salaries and commissions, males",57900.0
3627,2012," Canada, 55 to 64 years",Occupations in manufacturing and utilities,"Average gender pay ratio in annual wages, salaries and commissions",0.49
3628,2012," Canada, 55 to 64 years",Occupations in manufacturing and utilities,"Median wages, salaries and commissions, both sexes",44700.0
3629,2012," Canada, 55 to 64 years",Occupations in manufacturing and utilities,"Median wages, salaries and commissions, females",29700.0
3630,2012," Canada, 55 to 64 years",Occupations in manufacturing and utilities,"Median wages, salaries and commissions, males",52500.0
3631,2012," Canada, 55 to 64 years",Occupations in manufacturing and utilities,"Median gender pay ratio in annual wages, salaries and commissions",0.57
3632,2012," Canada, 55 to 64 years",Occupation unknown,"Average employment income, both sexes",11200.0
3633,2012," Canada, 55 to 64 years",Occupation unknown,"Average employment income, females",10700.0
3634,2012," Canada, 55 to 64 years",Occupation unknown,"Average employment income, males",11700.0
3635,2012," Canada, 55 to 64 years",Occupation unknown,Average gender pay ratio in annual employment income,0.92
3636,2012," Canada, 55 to 64 years",Occupation unknown,"Median employment income, both sexes",2200.0
3637,2012," Canada, 55 to 64 years",Occupation unknown,"Median employment income, females",3800.0
3638,2012," Canada, 55 to 64 years",Occupation unknown,"Median employment income, males",1300.0
3639,2012," Canada, 55 to 64 years",Occupation unknown,Median gender pay ratio in annual employment income,2.88
3640,2012," Canada, 55 to 64 years",Occupation unknown,"Average wages, salaries and commissions, both sexes",11700.0
3641,2012," Canada, 55 to 64 years",Occupation unknown,"Average wages, salaries and commissions, females",10600.0
3642,2012," Canada, 55 to 64 years",Occupation unknown,"Average wages, salaries and commissions, males",12800.0
3643,2012," Canada, 55 to 64 years",Occupation unknown,"Average gender pay ratio in annual wages, salaries and commissions",0.83
3644,2012," Canada, 55 to 64 years",Occupation unknown,"Median wages, salaries and commissions, both sexes",1700.0
3645,2012," Canada, 55 to 64 years",Occupation unknown,"Median wages, salaries and commissions, females",3100.0
3646,2012," Canada, 55 to 64 years",Occupation unknown,"Median wages, salaries and commissions, males",
3647,2012," Canada, 55 to 64 years",Occupation unknown,"Median gender pay ratio in annual wages, salaries and commissions",
3648,2012," Canada,  65 years and over",All occupations,"Average employment income, both sexes",18700.0
3649,2012," Canada,  65 years and over",All occupations,"Average employment income, females",13500.0
3650,2012," Canada,  65 years and over",All occupations,"Average employment income, males",22100.0
3651,2012," Canada,  65 years and over",All occupations,Average gender pay ratio in annual employment income,0.61
3652,2012," Canada,  65 years and over",All occupations,"Median employment income, both sexes",3500.0
3653,2012," Canada,  65 years and over",All occupations,"Median employment income, females",3200.0
3654,2012," Canada,  65 years and over",All occupations,"Median employment income, males",3600.0
3655,2012," Canada,  65 years and over",All occupations,Median gender pay ratio in annual employment income,0.87
3656,2012," Canada,  65 years and over",All occupations,"Average wages, salaries and commissions, both sexes",19100.0
3657,2012," Canada,  65 years and over",All occupations,"Average wages, salaries and commissions, females",14300.0
3658,2012," Canada,  65 years and over",All occupations,"Average wages, salaries and commissions, males",22400.0
3659,2012," Canada,  65 years and over",All occupations,"Average gender pay ratio in annual wages, salaries and commissions",0.64
3660,2012," Canada,  65 years and over",All occupations,"Median wages, salaries and commissions, both sexes",2600.0
3661,2012," Canada,  65 years and over",All occupations,"Median wages, salaries and commissions, females",2500.0
3662,2012," Canada,  65 years and over",All occupations,"Median wages, salaries and commissions, males",2800.0
3663,2012," Canada,  65 years and over",All occupations,"Median gender pay ratio in annual wages, salaries and commissions",
3664,2012," Canada,  65 years and over",Management occupations,"Average employment income, both sexes",42800.0
3665,2012," Canada,  65 years and over",Management occupations,"Average employment income, females",49100.0
3666,2012," Canada,  65 years and over",Management occupations,"Average employment income, males",40400.0
3667,2012," Canada,  65 years and over",Management occupations,Average gender pay ratio in annual employment income,1.22
3668,2012," Canada,  65 years and over",Management occupations,"Median employment income, both sexes",
3669,2012," Canada,  65 years and over",Management occupations,"Median employment income, females",
3670,2012," Canada,  65 years and over",Management occupations,"Median employment income, males",
3671,2012," Canada,  65 years and over",Management occupations,Median gender pay ratio in annual employment income,
3672,2012," Canada,  65 years and over",Management occupations,"Average wages, salaries and commissions, both sexes",59100.0
3673,2012," Canada,  65 years and over",Management occupations,"Average wages, salaries and commissions, females",63200.0
3674,2012," Canada,  65 years and over",Management occupations,"Average wages, salaries and commissions, males",57100.0
3675,2012," Canada,  65 years and over",Management occupations,"Average gender pay ratio in annual wages, salaries and commissions",1.11
3676,2012," Canada,  65 years and over",Management occupations,"Median wages, salaries and commissions, both sexes",43700.0
3677,2012," Canada,  65 years and over",Management occupations,"Median wages, salaries and commissions, females",63200.0
3678,2012," Canada,  65 years and over",Management occupations,"Median wages, salaries and commissions, males",41300.0
3679,2012," Canada,  65 years and over",Management occupations,"Median gender pay ratio in annual wages, salaries and commissions",
3680,2012," Canada,  65 years and over","Business, finance and administration occupations","Average employment income, both sexes",50700.0
3681,2012," Canada,  65 years and over","Business, finance and administration occupations","Average employment income, females",27400.0
3682,2012," Canada,  65 years and over","Business, finance and administration occupations","Average employment income, males",
3683,2012," Canada,  65 years and over","Business, finance and administration occupations",Average gender pay ratio in annual employment income,
3684,2012," Canada,  65 years and over","Business, finance and administration occupations","Median employment income, both sexes",27600.0
3685,2012," Canada,  65 years and over","Business, finance and administration occupations","Median employment income, females",23300.0
3686,2012," Canada,  65 years and over","Business, finance and administration occupations","Median employment income, males",32400.0
3687,2012," Canada,  65 years and over","Business, finance and administration occupations",Median gender pay ratio in annual employment income,
3688,2012," Canada,  65 years and over","Business, finance and administration occupations","Average wages, salaries and commissions, both sexes",
3689,2012," Canada,  65 years and over","Business, finance and administration occupations","Average wages, salaries and commissions, females",27200.0
3690,2012," Canada,  65 years and over","Business, finance and administration occupations","Average wages, salaries and commissions, males",
3691,2012," Canada,  65 years and over","Business, finance and administration occupations","Average gender pay ratio in annual wages, salaries and commissions",
3692,2012," Canada,  65 years and over","Business, finance and administration occupations","Median wages, salaries and commissions, both sexes",28400.0
3693,2012," Canada,  65 years and over","Business, finance and administration occupations","Median wages, salaries and commissions, females",27600.0
3694,2012," Canada,  65 years and over","Business, finance and administration occupations","Median wages, salaries and commissions, males",38200.0
3695,2012," Canada,  65 years and over","Business, finance and administration occupations","Median gender pay ratio in annual wages, salaries and commissions",
3696,2012," Canada,  65 years and over",Natural and applied sciences and related occupations,"Average employment income, both sexes",55100.0
3697,2012," Canada,  65 years and over",Natural and applied sciences and related occupations,"Average employment income, females",
3698,2012," Canada,  65 years and over",Natural and applied sciences and related occupations,"Average employment income, males",55100.0
3699,2012," Canada,  65 years and over",Natural and applied sciences and related occupations,Average gender pay ratio in annual employment income,
3700,2012," Canada,  65 years and over",Natural and applied sciences and related occupations,"Median employment income, both sexes",
3701,2012," Canada,  65 years and over",Natural and applied sciences and related occupations,"Median employment income, females",
3702,2012," Canada,  65 years and over",Natural and applied sciences and related occupations,"Median employment income, males",
3703,2012," Canada,  65 years and over",Natural and applied sciences and related occupations,Median gender pay ratio in annual employment income,
3704,2012," Canada,  65 years and over",Natural and applied sciences and related occupations,"Average wages, salaries and commissions, both sexes",79400.0
3705,2012," Canada,  65 years and over",Natural and applied sciences and related occupations,"Average wages, salaries and commissions, females",
3706,2012," Canada,  65 years and over",Natural and applied sciences and related occupations,"Average wages, salaries and commissions, males",79400.0
3707,2012," Canada,  65 years and over",Natural and applied sciences and related occupations,"Average gender pay ratio in annual wages, salaries and commissions",
3708,2012," Canada,  65 years and over",Natural and applied sciences and related occupations,"Median wages, salaries and commissions, both sexes",
3709,2012," Canada,  65 years and over",Natural and applied sciences and related occupations,"Median wages, salaries and commissions, females",
3710,2012," Canada,  65 years and over",Natural and applied sciences and related occupations,"Median wages, salaries and commissions, males",
3711,2012," Canada,  65 years and over",Natural and applied sciences and related occupations,"Median gender pay ratio in annual wages, salaries and commissions",
3712,2012," Canada,  65 years and over",Health occupations,"Average employment income, both sexes",58900.0
3713,2012," Canada,  65 years and over",Health occupations,"Average employment income, females",27300.0
3714,2012," Canada,  65 years and over",Health occupations,"Average employment income, males",92600.0
3715,2012," Canada,  65 years and over",Health occupations,Average gender pay ratio in annual employment income,
3716,2012," Canada,  65 years and over",Health occupations,"Median employment income, both sexes",37800.0
3717,2012," Canada,  65 years and over",Health occupations,"Median employment income, females",
3718,2012," Canada,  65 years and over",Health occupations,"Median employment income, males",
3719,2012," Canada,  65 years and over",Health occupations,Median gender pay ratio in annual employment income,
3720,2012," Canada,  65 years and over",Health occupations,"Average wages, salaries and commissions, both sexes",35900.0
3721,2012," Canada,  65 years and over",Health occupations,"Average wages, salaries and commissions, females",29400.0
3722,2012," Canada,  65 years and over",Health occupations,"Average wages, salaries and commissions, males",
3723,2012," Canada,  65 years and over",Health occupations,"Average gender pay ratio in annual wages, salaries and commissions",
3724,2012," Canada,  65 years and over",Health occupations,"Median wages, salaries and commissions, both sexes",36500.0
3725,2012," Canada,  65 years and over",Health occupations,"Median wages, salaries and commissions, females",27300.0
3726,2012," Canada,  65 years and over",Health occupations,"Median wages, salaries and commissions, males",
3727,2012," Canada,  65 years and over",Health occupations,"Median gender pay ratio in annual wages, salaries and commissions",
3728,2012," Canada,  65 years and over","Occupations in education, law and social, community and government services","Average employment income, both sexes",31600.0
3729,2012," Canada,  65 years and over","Occupations in education, law and social, community and government services","Average employment income, females",25400.0
3730,2012," Canada,  65 years and over","Occupations in education, law and social, community and government services","Average employment income, males",37900.0
3731,2012," Canada,  65 years and over","Occupations in education, law and social, community and government services",Average gender pay ratio in annual employment income,
3732,2012," Canada,  65 years and over","Occupations in education, law and social, community and government services","Median employment income, both sexes",18900.0
3733,2012," Canada,  65 years and over","Occupations in education, law and social, community and government services","Median employment income, females",
3734,2012," Canada,  65 years and over","Occupations in education, law and social, community and government services","Median employment income, males",21000.0
3735,2012," Canada,  65 years and over","Occupations in education, law and social, community and government services",Median gender pay ratio in annual employment income,
3736,2012," Canada,  65 years and over","Occupations in education, law and social, community and government services","Average wages, salaries and commissions, both sexes",33900.0
3737,2012," Canada,  65 years and over","Occupations in education, law and social, community and government services","Average wages, salaries and commissions, females",28600.0
3738,2012," Canada,  65 years and over","Occupations in education, law and social, community and government services","Average wages, salaries and commissions, males",38900.0
3739,2012," Canada,  65 years and over","Occupations in education, law and social, community and government services","Average gender pay ratio in annual wages, salaries and commissions",
3740,2012," Canada,  65 years and over","Occupations in education, law and social, community and government services","Median wages, salaries and commissions, both sexes",18900.0
3741,2012," Canada,  65 years and over","Occupations in education, law and social, community and government services","Median wages, salaries and commissions, females",
3742,2012," Canada,  65 years and over","Occupations in education, law and social, community and government services","Median wages, salaries and commissions, males",24400.0
3743,2012," Canada,  65 years and over","Occupations in education, law and social, community and government services","Median gender pay ratio in annual wages, salaries and commissions",
3744,2012," Canada,  65 years and over","Occupations in art, culture, recreation and sport","Average employment income, both sexes",
3745,2012," Canada,  65 years and over","Occupations in art, culture, recreation and sport","Average employment income, females",
3746,2012," Canada,  65 years and over","Occupations in art, culture, recreation and sport","Average employment income, males",
3747,2012," Canada,  65 years and over","Occupations in art, culture, recreation and sport",Average gender pay ratio in annual employment income,
3748,2012," Canada,  65 years and over","Occupations in art, culture, recreation and sport","Median employment income, both sexes",
3749,2012," Canada,  65 years and over","Occupations in art, culture, recreation and sport","Median employment income, females",
3750,2012," Canada,  65 years and over","Occupations in art, culture, recreation and sport","Median employment income, males",
3751,2012," Canada,  65 years and over","Occupations in art, culture, recreation and sport",Median gender pay ratio in annual employment income,
3752,2012," Canada,  65 years and over","Occupations in art, culture, recreation and sport","Average wages, salaries and commissions, both sexes",
3753,2012," Canada,  65 years and over","Occupations in art, culture, recreation and sport","Average wages, salaries and commissions, females",
3754,2012," Canada,  65 years and over","Occupations in art, culture, recreation and sport","Average wages, salaries and commissions, males",
3755,2012," Canada,  65 years and over","Occupations in art, culture, recreation and sport","Average gender pay ratio in annual wages, salaries and commissions",
3756,2012," Canada,  65 years and over","Occupations in art, culture, recreation and sport","Median wages, salaries and commissions, both sexes",
3757,2012," Canada,  65 years and over","Occupations in art, culture, recreation and sport","Median wages, salaries and commissions, females",
3758,2012," Canada,  65 years and over","Occupations in art, culture, recreation and sport","Median wages, salaries and commissions, males",
3759,2012," Canada,  65 years and over","Occupations in art, culture, recreation and sport","Median gender pay ratio in annual wages, salaries and commissions",
3760,2012," Canada,  65 years and over",Sales and service occupations,"Average employment income, both sexes",19600.0
3761,2012," Canada,  65 years and over",Sales and service occupations,"Average employment income, females",16600.0
3762,2012," Canada,  65 years and over",Sales and service occupations,"Average employment income, males",22200.0
3763,2012," Canada,  65 years and over",Sales and service occupations,Average gender pay ratio in annual employment income,0.75
3764,2012," Canada,  65 years and over",Sales and service occupations,"Median employment income, both sexes",14700.0
3765,2012," Canada,  65 years and over",Sales and service occupations,"Median employment income, females",12000.0
3766,2012," Canada,  65 years and over",Sales and service occupations,"Median employment income, males",19000.0
3767,2012," Canada,  65 years and over",Sales and service occupations,Median gender pay ratio in annual employment income,0.63
3768,2012," Canada,  65 years and over",Sales and service occupations,"Average wages, salaries and commissions, both sexes",21500.0
3769,2012," Canada,  65 years and over",Sales and service occupations,"Average wages, salaries and commissions, females",18400.0
3770,2012," Canada,  65 years and over",Sales and service occupations,"Average wages, salaries and commissions, males",24300.0
3771,2012," Canada,  65 years and over",Sales and service occupations,"Average gender pay ratio in annual wages, salaries and commissions",0.76
3772,2012," Canada,  65 years and over",Sales and service occupations,"Median wages, salaries and commissions, both sexes",15700.0
3773,2012," Canada,  65 years and over",Sales and service occupations,"Median wages, salaries and commissions, females",13300.0
3774,2012," Canada,  65 years and over",Sales and service occupations,"Median wages, salaries and commissions, males",20400.0
3775,2012," Canada,  65 years and over",Sales and service occupations,"Median gender pay ratio in annual wages, salaries and commissions",0.65
3776,2012," Canada,  65 years and over","Trades, transport and equipment operators and related occupations","Average employment income, both sexes",28600.0
3777,2012," Canada,  65 years and over","Trades, transport and equipment operators and related occupations","Average employment income, females",
3778,2012," Canada,  65 years and over","Trades, transport and equipment operators and related occupations","Average employment income, males",29100.0
3779,2012," Canada,  65 years and over","Trades, transport and equipment operators and related occupations",Average gender pay ratio in annual employment income,
3780,2012," Canada,  65 years and over","Trades, transport and equipment operators and related occupations","Median employment income, both sexes",20900.0
3781,2012," Canada,  65 years and over","Trades, transport and equipment operators and related occupations","Median employment income, females",
3782,2012," Canada,  65 years and over","Trades, transport and equipment operators and related occupations","Median employment income, males",20900.0
3783,2012," Canada,  65 years and over","Trades, transport and equipment operators and related occupations",Median gender pay ratio in annual employment income,
3784,2012," Canada,  65 years and over","Trades, transport and equipment operators and related occupations","Average wages, salaries and commissions, both sexes",30700.0
3785,2012," Canada,  65 years and over","Trades, transport and equipment operators and related occupations","Average wages, salaries and commissions, females",
3786,2012," Canada,  65 years and over","Trades, transport and equipment operators and related occupations","Average wages, salaries and commissions, males",31300.0
3787,2012," Canada,  65 years and over","Trades, transport and equipment operators and related occupations","Average gender pay ratio in annual wages, salaries and commissions",
3788,2012," Canada,  65 years and over","Trades, transport and equipment operators and related occupations","Median wages, salaries and commissions, both sexes",23600.0
3789,2012," Canada,  65 years and over","Trades, transport and equipment operators and related occupations","Median wages, salaries and commissions, females",
3790,2012," Canada,  65 years and over","Trades, transport and equipment operators and related occupations","Median wages, salaries and commissions, males",23600.0
3791,2012," Canada,  65 years and over","Trades, transport and equipment operators and related occupations","Median gender pay ratio in annual wages, salaries and commissions",
3792,2012," Canada,  65 years and over","Natural resources, agriculture and related production occupations","Average employment income, both sexes",22300.0
3793,2012," Canada,  65 years and over","Natural resources, agriculture and related production occupations","Average employment income, females",
3794,2012," Canada,  65 years and over","Natural resources, agriculture and related production occupations","Average employment income, males",23200.0
3795,2012," Canada,  65 years and over","Natural resources, agriculture and related production occupations",Average gender pay ratio in annual employment income,
3796,2012," Canada,  65 years and over","Natural resources, agriculture and related production occupations","Median employment income, both sexes",12200.0
3797,2012," Canada,  65 years and over","Natural resources, agriculture and related production occupations","Median employment income, females",
3798,2012," Canada,  65 years and over","Natural resources, agriculture and related production occupations","Median employment income, males",
3799,2012," Canada,  65 years and over","Natural resources, agriculture and related production occupations",Median gender pay ratio in annual employment income,
3800,2012," Canada,  65 years and over","Natural resources, agriculture and related production occupations","Average wages, salaries and commissions, both sexes",27700.0
3801,2012," Canada,  65 years and over","Natural resources, agriculture and related production occupations","Average wages, salaries and commissions, females",
3802,2012," Canada,  65 years and over","Natural resources, agriculture and related production occupations","Average wages, salaries and commissions, males",28400.0
3803,2012," Canada,  65 years and over","Natural resources, agriculture and related production occupations","Average gender pay ratio in annual wages, salaries and commissions",
3804,2012," Canada,  65 years and over","Natural resources, agriculture and related production occupations","Median wages, salaries and commissions, both sexes",
3805,2012," Canada,  65 years and over","Natural resources, agriculture and related production occupations","Median wages, salaries and commissions, females",
3806,2012," Canada,  65 years and over","Natural resources, agriculture and related production occupations","Median wages, salaries and commissions, males",
3807,2012," Canada,  65 years and over","Natural resources, agriculture and related production occupations","Median gender pay ratio in annual wages, salaries and commissions",
3808,2012," Canada,  65 years and over",Occupations in manufacturing and utilities,"Average employment income, both sexes",30400.0
3809,2012," Canada,  65 years and over",Occupations in manufacturing and utilities,"Average employment income, females",
3810,2012," Canada,  65 years and over",Occupations in manufacturing and utilities,"Average employment income, males",31000.0
3811,2012," Canada,  65 years and over",Occupations in manufacturing and utilities,Average gender pay ratio in annual employment income,
3812,2012," Canada,  65 years and over",Occupations in manufacturing and utilities,"Median employment income, both sexes",
3813,2012," Canada,  65 years and over",Occupations in manufacturing and utilities,"Median employment income, females",
3814,2012," Canada,  65 years and over",Occupations in manufacturing and utilities,"Median employment income, males",
3815,2012," Canada,  65 years and over",Occupations in manufacturing and utilities,Median gender pay ratio in annual employment income,
3816,2012," Canada,  65 years and over",Occupations in manufacturing and utilities,"Average wages, salaries and commissions, both sexes",34700.0
3817,2012," Canada,  65 years and over",Occupations in manufacturing and utilities,"Average wages, salaries and commissions, females",
3818,2012," Canada,  65 years and over",Occupations in manufacturing and utilities,"Average wages, salaries and commissions, males",32200.0
3819,2012," Canada,  65 years and over",Occupations in manufacturing and utilities,"Average gender pay ratio in annual wages, salaries and commissions",
3820,2012," Canada,  65 years and over",Occupations in manufacturing and utilities,"Median wages, salaries and commissions, both sexes",
3821,2012," Canada,  65 years and over",Occupations in manufacturing and utilities,"Median wages, salaries and commissions, females",
3822,2012," Canada,  65 years and over",Occupations in manufacturing and utilities,"Median wages, salaries and commissions, males",
3823,2012," Canada,  65 years and over",Occupations in manufacturing and utilities,"Median gender pay ratio in annual wages, salaries and commissions",
3824,2012," Canada,  65 years and over",Occupation unknown,"Average employment income, both sexes",4200.0
3825,2012," Canada,  65 years and over",Occupation unknown,"Average employment income, females",3800.0
3826,2012," Canada,  65 years and over",Occupation unknown,"Average employment income, males",4500.0
3827,2012," Canada,  65 years and over",Occupation unknown,Average gender pay ratio in annual employment income,
3828,2012," Canada,  65 years and over",Occupation unknown,"Median employment income, both sexes",400.0
3829,2012," Canada,  65 years and over",Occupation unknown,"Median employment income, females",400.0
3830,2012," Canada,  65 years and over",Occupation unknown,"Median employment income, males",500.0
3831,2012," Canada,  65 years and over",Occupation unknown,Median gender pay ratio in annual employment income,0.87
3832,2012," Canada,  65 years and over",Occupation unknown,"Average wages, salaries and commissions, both sexes",4600.0
3833,2012," Canada,  65 years and over",Occupation unknown,"Average wages, salaries and commissions, females",4000.0
3834,2012," Canada,  65 years and over",Occupation unknown,"Average wages, salaries and commissions, males",4900.0
3835,2012," Canada,  65 years and over",Occupation unknown,"Average gender pay ratio in annual wages, salaries and commissions",
3836,2012," Canada,  65 years and over",Occupation unknown,"Median wages, salaries and commissions, both sexes",400.0
3837,2012," Canada,  65 years and over",Occupation unknown,"Median wages, salaries and commissions, females",400.0
3838,2012," Canada,  65 years and over",Occupation unknown,"Median wages, salaries and commissions, males",500.0
3839,2012," Canada,  65 years and over",Occupation unknown,"Median gender pay ratio in annual wages, salaries and commissions",0.9
3840,2013,Canada,All occupations,"Average employment income, both sexes",46100.0
3841,2013,Canada,All occupations,"Average employment income, females",37300.0
3842,2013,Canada,All occupations,"Average employment income, males",54000.0
3843,2013,Canada,All occupations,Average gender pay ratio in annual employment income,0.69
3844,2013,Canada,All occupations,"Median employment income, both sexes",34500.0
3845,2013,Canada,All occupations,"Median employment income, females",28800.0
3846,2013,Canada,All occupations,"Median employment income, males",40700.0
3847,2013,Canada,All occupations,Median gender pay ratio in annual employment income,0.71
3848,2013,Canada,All occupations,"Average wages, salaries and commissions, both sexes",47200.0
3849,2013,Canada,All occupations,"Average wages, salaries and commissions, females",38200.0
3850,2013,Canada,All occupations,"Average wages, salaries and commissions, males",55300.0
3851,2013,Canada,All occupations,"Average gender pay ratio in annual wages, salaries and commissions",0.69
3852,2013,Canada,All occupations,"Median wages, salaries and commissions, both sexes",36400.0
3853,2013,Canada,All occupations,"Median wages, salaries and commissions, females",30100.0
3854,2013,Canada,All occupations,"Median wages, salaries and commissions, males",43300.0
3855,2013,Canada,All occupations,"Median gender pay ratio in annual wages, salaries and commissions",0.7
3856,2013,Canada,Management occupations,"Average employment income, both sexes",77600.0
3857,2013,Canada,Management occupations,"Average employment income, females",65800.0
3858,2013,Canada,Management occupations,"Average employment income, males",84500.0
3859,2013,Canada,Management occupations,Average gender pay ratio in annual employment income,0.78
3860,2013,Canada,Management occupations,"Median employment income, both sexes",59600.0
3861,2013,Canada,Management occupations,"Median employment income, females",52900.0
3862,2013,Canada,Management occupations,"Median employment income, males",63000.0
3863,2013,Canada,Management occupations,Median gender pay ratio in annual employment income,0.84
3864,2013,Canada,Management occupations,"Average wages, salaries and commissions, both sexes",88700.0
3865,2013,Canada,Management occupations,"Average wages, salaries and commissions, females",73300.0
3866,2013,Canada,Management occupations,"Average wages, salaries and commissions, males",98300.0
3867,2013,Canada,Management occupations,"Average gender pay ratio in annual wages, salaries and commissions",0.75
3868,2013,Canada,Management occupations,"Median wages, salaries and commissions, both sexes",71600.0
3869,2013,Canada,Management occupations,"Median wages, salaries and commissions, females",59300.0
3870,2013,Canada,Management occupations,"Median wages, salaries and commissions, males",78900.0
3871,2013,Canada,Management occupations,"Median gender pay ratio in annual wages, salaries and commissions",0.75
3872,2013,Canada,"Business, finance and administration occupations","Average employment income, both sexes",51000.0
3873,2013,Canada,"Business, finance and administration occupations","Average employment income, females",46100.0
3874,2013,Canada,"Business, finance and administration occupations","Average employment income, males",61400.0
3875,2013,Canada,"Business, finance and administration occupations",Average gender pay ratio in annual employment income,0.75
3876,2013,Canada,"Business, finance and administration occupations","Median employment income, both sexes",43900.0
3877,2013,Canada,"Business, finance and administration occupations","Median employment income, females",42800.0
3878,2013,Canada,"Business, finance and administration occupations","Median employment income, males",48100.0
3879,2013,Canada,"Business, finance and administration occupations",Median gender pay ratio in annual employment income,0.89
3880,2013,Canada,"Business, finance and administration occupations","Average wages, salaries and commissions, both sexes",50400.0
3881,2013,Canada,"Business, finance and administration occupations","Average wages, salaries and commissions, females",46100.0
3882,2013,Canada,"Business, finance and administration occupations","Average wages, salaries and commissions, males",59900.0
3883,2013,Canada,"Business, finance and administration occupations","Average gender pay ratio in annual wages, salaries and commissions",0.77
3884,2013,Canada,"Business, finance and administration occupations","Median wages, salaries and commissions, both sexes",44100.0
3885,2013,Canada,"Business, finance and administration occupations","Median wages, salaries and commissions, females",43200.0
3886,2013,Canada,"Business, finance and administration occupations","Median wages, salaries and commissions, males",48100.0
3887,2013,Canada,"Business, finance and administration occupations","Median gender pay ratio in annual wages, salaries and commissions",0.9
3888,2013,Canada,Natural and applied sciences and related occupations,"Average employment income, both sexes",75000.0
3889,2013,Canada,Natural and applied sciences and related occupations,"Average employment income, females",65900.0
3890,2013,Canada,Natural and applied sciences and related occupations,"Average employment income, males",77100.0
3891,2013,Canada,Natural and applied sciences and related occupations,Average gender pay ratio in annual employment income,0.86
3892,2013,Canada,Natural and applied sciences and related occupations,"Median employment income, both sexes",69300.0
3893,2013,Canada,Natural and applied sciences and related occupations,"Median employment income, females",65000.0
3894,2013,Canada,Natural and applied sciences and related occupations,"Median employment income, males",69700.0
3895,2013,Canada,Natural and applied sciences and related occupations,Median gender pay ratio in annual employment income,0.93
3896,2013,Canada,Natural and applied sciences and related occupations,"Average wages, salaries and commissions, both sexes",76500.0
3897,2013,Canada,Natural and applied sciences and related occupations,"Average wages, salaries and commissions, females",67400.0
3898,2013,Canada,Natural and applied sciences and related occupations,"Average wages, salaries and commissions, males",78700.0
3899,2013,Canada,Natural and applied sciences and related occupations,"Average gender pay ratio in annual wages, salaries and commissions",0.86
3900,2013,Canada,Natural and applied sciences and related occupations,"Median wages, salaries and commissions, both sexes",70500.0
3901,2013,Canada,Natural and applied sciences and related occupations,"Median wages, salaries and commissions, females",65900.0
3902,2013,Canada,Natural and applied sciences and related occupations,"Median wages, salaries and commissions, males",71800.0
3903,2013,Canada,Natural and applied sciences and related occupations,"Median gender pay ratio in annual wages, salaries and commissions",0.92
3904,2013,Canada,Health occupations,"Average employment income, both sexes",56700.0
3905,2013,Canada,Health occupations,"Average employment income, females",50700.0
3906,2013,Canada,Health occupations,"Average employment income, males",84000.0
3907,2013,Canada,Health occupations,Average gender pay ratio in annual employment income,0.6
3908,2013,Canada,Health occupations,"Median employment income, both sexes",47200.0
3909,2013,Canada,Health occupations,"Median employment income, females",45500.0
3910,2013,Canada,Health occupations,"Median employment income, males",64900.0
3911,2013,Canada,Health occupations,Median gender pay ratio in annual employment income,0.7
3912,2013,Canada,Health occupations,"Average wages, salaries and commissions, both sexes",52500.0
3913,2013,Canada,Health occupations,"Average wages, salaries and commissions, females",49200.0
3914,2013,Canada,Health occupations,"Average wages, salaries and commissions, males",68000.0
3915,2013,Canada,Health occupations,"Average gender pay ratio in annual wages, salaries and commissions",0.72
3916,2013,Canada,Health occupations,"Median wages, salaries and commissions, both sexes",46900.0
3917,2013,Canada,Health occupations,"Median wages, salaries and commissions, females",45500.0
3918,2013,Canada,Health occupations,"Median wages, salaries and commissions, males",62400.0
3919,2013,Canada,Health occupations,"Median gender pay ratio in annual wages, salaries and commissions",0.73
3920,2013,Canada,"Occupations in education, law and social, community and government services","Average employment income, both sexes",54400.0
3921,2013,Canada,"Occupations in education, law and social, community and government services","Average employment income, females",44600.0
3922,2013,Canada,"Occupations in education, law and social, community and government services","Average employment income, males",78400.0
